,menuKind,menuName
635,조림,시골두부무조림
636,조림,납작완자조림
637,조림,단호박 호두조림
638,조림,쇠고기감자조림
639,조림,호두조림
640,조림,고구마순 고등어조림
641,조림,멸치 무조림
642,조림,통삼겹 간장조림
643,조림,대패삼겹 두부조림
644,조림,만두조림 & 만두부침개
645,조림,조갯살두부조림
646,조림,매콤 닭봉조림
647,조림,고등어 무조림
648,조림,김조림
649,조림,삼치간장조림
650,조림,호두 은행조림
651,조림,오징어연근조림
652,조림,코다리조림
653,조림,밤알단자와 사과조림
654,조림,뚝배기 갈치조림
655,조림,마늘꿀조림
656,조림,가지튀김 깐풍조림
657,조림,꽁치조림
658,조림,곤약버섯조림
659,조림,어묵찬밥조림
660,조림,꽁치얼갈이조림
661,조림,뿌리채소 돼지고기조림
662,조림,노가리조림
663,조림,토란잔멸치조림
664,조림,시래기삼치조림
665,조림,어묵고구마조림
666,조림,마른 꼴뚜기조림
667,조림,된장두부조림
668,조림,쇠고기 장조림
669,조림,다시마곤약콩조림
670,조림,가자미조림
671,조림,마늘고추장소스 두부조림
672,조림,마늘밤조림
673,조림,감자간장조림
674,조림,통삼겹 간장조림
675,전,삼각김밥누룽지전
676,전,무전
677,전,고구마채전
678,전,양배추 달걀전
679,전,못난이 가지전
680,전,낙지젓 파전
681,전,늙은호박전
682,전,오징어젓전
683,전,버섯김치전
684,전,참나물샐러드를 곁들인 육전
685,전,버섯전
686,전,감자전
687,젓,새우젓 달걀볶음밥
688,젓,창란젓볶음밥
689,젓,조개젓 나가사키 우동
690,젓,오징어젓콩나물국밥
691,젓,새우젓콩나물국
692,젓,두부호박 새우젓국
693,젓,새우젓비지찌개
694,젓,명란젓비지찌개
695,젓,오징어젓 떡볶음
696,젓,양념조개젓
697,젓,어리굴젓
698,젓,멍게젓
699,젓,오징어젓미나리무침
700,젓,낙지젓 파전
701,젓,양상추 명란젓말이
702,젓,오징어젓전
703,나물,물만두 콩나물국밥
704,나물,김치 콩나물밥
705,나물,오징어콩나물국밥
706,나물,불고기 김치콩나물밥
707,나물,콩나물냉국
708,나물,콩나물무침 & 콩나물술국
709,나물,오징어젓콩나물국밥
710,나물,순두부콩나물국
711,나물,새우콩나물탕
712,나물,콩나물아욱국
713,나물,새우젓콩나물국
714,나물,취나물된장국
715,나물,봄나물 강된장
716,나물,콩나물장조림
717,나물,통들깨 무나물
718,나물,삼색나물
719,나물,하얀콩나물무침
720,나물,콩나물 냉채
721,나물,세발나물 새우부침개
722,나물,봄나물 된장닭갈비
723,나물,방풍나물무침
724,나물,호박나물
