,food_name,view_count,food_cate,rec_season,rec_weather,rec_time
575,참치포테이토피자,4513,9,0,2,0
576,미니호두파이,8207,9,0,2,0
577,닭안심짜장덮밥,5272,8,0,2,0
578,어묵샌드크로켓,2328,9,0,2,0
579,소세지롤빵,3069,9,0,2,0
580,허니비스켓,2845,0,0,2,0
581,초코청크쿠키,3458,0,0,2,0
582,바베큐립,5614,13,0,2,0
583,초코머핀,2362,9,0,2,0
584,찰떡,5544,8,0,2,0
585,크랜베리사브레,6747,0,0,2,0
586,샐러드,2689,10,0,2,0
587,초코쿠키,3879,0,0,2,0
588,치킨데리야끼,8589,5,0,2,0
589,참치볼조림,5886,7,0,2,0
590,샌드위치,9407,9,0,2,0
591,새우주먹밥,24004,8,0,2,0
592,샌드위치,35811,9,0,2,0
593,볶음밥,16676,8,0,2,0
594,호밀식빵,4584,9,0,2,0
595,해물볶음우동,43566,6,0,2,0
596,새우덮밥,23250,8,0,2,0
597,고구마만주,6550,9,0,2,0
598,쥬스,7484,15,0,2,0
599,깻잎장아찌,50633,7,0,2,0
600,샐러드,3538,10,0,2,0
601,벨기에와플,3365,9,0,2,0
602,바나나통밀팬케이크,8590,9,0,2,0
603,스팸볶음밥그라탕,20920,13,0,2,0
604,감자크로켓,20058,9,0,2,0
605,초콜릿머핀,2845,9,0,2,0
606,레몬차,19692,15,0,2,0
607,식빵핫도그,28935,9,0,2,0
608,프리타타,16919,13,0,2,0
609,파프리카잡채,11669,5,0,2,0
610,블루베리치즈케이크,3805,9,0,2,0
611,또띠아,11132,9,0,2,0
612,블루베리머핀케이크,4859,9,0,2,0
613,굴소스볶음밥,17009,8,0,2,0
614,와플,3838,9,0,2,0
615,감자채카레볶음,25230,7,0,2,0
616,파인애플샤벳,9260,4,0,2,0
617,양념치킨,19533,5,0,2,0
618,쨈,12786,12,0,2,0
619,길거리토스트,26941,9,0,2,0
620,김치감자샐러드,23755,10,0,2,0
621,돼지갈비김치찜,16391,5,0,2,0
622,브로콜리파운드케익,3322,9,0,2,0
623,고추장멸치볶음,141383,7,0,2,0
624,가토쇼콜라,6139,9,0,2,0
625,케이크,3289,9,0,2,0
626,스팸감자채볶음,30508,7,0,2,0
627,블루베리소보루치즈타르트,4177,0,0,2,0
628,호두빵,2394,9,0,2,0
629,감자베이글,5668,9,0,2,0
630,커피빙수,7758,4,0,2,0
631,두부감자채탕수,5487,5,0,2,0
632,감자주먹밥구이,13988,8,0,2,0
633,감자전,9510,7,0,2,0
634,옥수수맛탕,7544,4,0,2,0
635,건포도모카머핀,2047,9,0,2,0
636,브로콜리계란샌드위치,3838,9,0,2,0
637,새우구이,5472,5,0,2,0
638,매쉬드포테이토,17526,4,0,2,0
639,연어구이,19790,5,0,2,0
640,크림참치베이글샌드위치,5495,9,0,2,0
641,닭가슴살겨자냉채,24303,10,0,2,0
642,코울슬로,7831,10,0,2,0
643,메밀국수,15786,6,0,2,0
644,바나나타르트,3757,0,0,2,0
645,파프리카참치전,8309,4,0,2,0
646,피자샌드,12687,9,0,2,0
647,블루베리머핀,2846,9,0,2,0
648,초코식빵,2384,9,0,2,0
649,파프리카전,8444,7,0,2,0
650,맛살계란말이,18922,7,0,2,0
651,아이스크림크레이프,2737,9,0,2,0
652,에스프레소브라우니,3202,9,0,2,0
653,어니언스테이크,7451,13,0,2,0
654,나초피자,9335,9,0,2,0
655,스팸두부전골,10689,1,0,2,0
656,치즈고로케,3038,9,0,2,0
657,애플푸딩,5613,4,0,2,0
658,미니스카치에그,3641,13,0,2,0
659,스팸야채튀김,12283,5,0,2,0
660,감자샐러드샌드위치,42560,9,0,2,0
661,감자샐러드튀김볼,8929,13,0,2,0
662,우렁이무침,21071,5,0,2,0
663,오징어백숙,8693,1,0,2,0
664,카레보트,2733,4,0,2,0
