food_name,view_count,food_cate,rec_season,rec_weather,rec_time
어묵볶음,4615,밑반찬,겨울,눈,아침
메추리알떡갈비구이,3104,메인반찬,겨울,눈,아침
홍합떡국,3214,국/탕,겨울,눈,아침
과일식빵카나페,8732,디저트,겨울,눈,아침
두부야채계란말이,18566,밑반찬,겨울,눈,아침
김치볶음밥베이컨말이,14904,밥/죽/떡,겨울,눈,저녁
삼각김밥볶음밥,9164,밥/죽/떡,겨울,눈,저녁
베이컨감자말이,10439,메인반찬,겨울,눈,저녁
메추리알감자보트,7038,디저트,겨울,비,저녁
KFC비스킷,13883,과자,겨울,비,저녁
마늘조림,33092,밑반찬,겨울,비,저녁
찹쌀도넛,10953,빵,겨울,비,저녁
포카치아,2001,빵,겨울,비,저녁
도토리묵,20838,밑반찬,겨울,비,저녁
오이볶음,80664,밑반찬,겨울,비,저녁
치킨카레우동,7430,면/만두,겨울,비,저녁
묵은지삼겹살두루치기,52314,메인반찬,겨울,비,저녁
떡잡채,9952,메인반찬,겨울,비,저녁
과일타르트,8935,과자,겨울,비,저녁
황태오븐구이,10388,메인반찬,겨울,비,저녁
궁중떡볶이,10344,밥/죽/떡,겨울,비,저녁
녹차아이스크림,9670,디저트,겨울,비,저녁
해물콩나물밥,11801,밥/죽/떡,겨울,비,저녁
새송이버섯라이스그라탕,6927,양식,겨울,비,저녁
코코넛마들렌,3044,빵,겨울,비,저녁
벨기에와플,7445,빵,겨울,비,저녁
달걀말이,14865,밑반찬,겨울,비,저녁
양파즙,21035,양념/소스/잼,겨울,비,저녁
코코넛머핀,1679,빵,겨울,비,저녁
치킨퀘사디아,7477,빵,겨울,비,저녁
닭봉케찹조림,6621,메인반찬,겨울,비,저녁
닭가슴살볶음밥,12268,밥/죽/떡,겨울,비,저녁
치킨도리아,9714,밥/죽/떡,겨울,비,저녁
케이크,2114,빵,겨울,비,저녁
짜장덮밥,8429,밥/죽/떡,겨울,비,저녁
오이무침,26486,밑반찬,겨울,비,저녁
통밀브레드,6588,빵,겨울,비,저녁
돼지고기안심장조림,352628,밑반찬,겨울,비,저녁
오이부추무침,76349,밑반찬,겨울,비,저녁
녹차팥롤케이크,3713,빵,겨울,비,저녁
쑥떡떡볶이,19753,밥/죽/떡,겨울,비,저녁
치킨시저샐러드,10441,샐러드,겨울,비,저녁
비엔나마늘종볶음,12404,밑반찬,겨울,비,저녁
흑미식빵,2801,빵,겨울,비,저녁
피자빵,27744,빵,겨울,비,저녁
오므라이스,10563,밥/죽/떡,겨울,비,저녁
버터링쿠키,7910,과자,겨울,비,저녁
젤리,2796,디저트,겨울,비,저녁
홍차젤리,15203,디저트,겨울,비,저녁
포도젤리,5938,디저트,겨울,비,저녁
사시미곤약쫄면,5591,면/만두,겨울,비,저녁
팽이버섯무침,60127,밑반찬,겨울,비,저녁
브레드,3851,빵,겨울,비,저녁
시나몬비스코티,3465,과자,겨울,비,저녁
